Code,Entity,Total_Deaths,Total_Cases,Population,Continent,Death_per_mill,Population_Density,Cases_per_mill,Cumulative_Pos_Rate,Total_Tests,GDP_Per_Cap,Resp_Death_Rate,Median_Age,Contact_Tracing,INT_Travel_Controls,Physicians_Per_1000_ppl,Percent_Urbanization,Life_Expectancy,HC_Expenditure_Per_Capita,Stay_Home_Req,Gathering_Restrictions,Internal_Movement_Restrict,Tests_per_mill
HRV,Croatia,6562,307790,4105268,Europe,1724.857,73.7258756254467,80916.276,18.4,1804187,22670,19.77739865334978,44.0,0.6865979381443299,0.5525773195876289,3.126,56.403,78.488,1652,0.10103092783505155,0.422680412371134,0.12989690721649486,0.43948093035582575
CUB,Cuba,644,106707,11326616,North America,56.857,110.407960007691,9420.907,0.3,3654854,8541,22.864888126393065,43.099998,0.7438524590163934,0.4405737704918033,7.519,76.93,78.802,2475,0.41598360655737704,0.7315573770491803,0.8319672131147541,0.3226783710156679
CYP,Cyprus,308,65233,875899,Europe,351.639,127.657034632035,74475.482,1.3,5227671,32415,24.378946274682225,37.299999,0.7836734693877551,0.8489795918367347,2.496,66.881,80.982,2062,0.4897959183673469,0.5081632653061224,0.3122448979591837,5.968349090477327
CZE,Czechia,29267,1630758,10708982,Europe,2732.94,137.175534257221,152279.46,-1,-1,32606,17.84655403573949,43.299999,0.8770491803278688,0.9405737704918032,3.677,73.57,79.376,2146,0.3442622950819672,0.5020491803278688,0.38729508196721313,-1
COD,Democratic Republic of Congo,766,29853,89561404,Africa,8.553,35.8792210140932,333.324,-1,-1,808,62.679300436447576,17.0,0.0,0.30265848670756645,0.074,43.307,60.681,32,0.34151329243353784,0.0,0.5051124744376279,-1
DNK,Denmark,2484,251249,5792203,Europe,428.852,136.519876011547,43377.105,1.0,24322447,46683,34.95982110283463,42.299999,0.0,0.8568507157464212,3.655,87.642,80.898,4782,0.0,0.556237218813906,0.0,4.199170332945858
DJI,Djibouti,143,11100,988002,Africa,144.737,41.28494391717,11234.795,-1,-1,2914,33.43866186591914,25.4,0.83991683991684,0.2515592515592516,0.229,77.528,67.112,338,0.11434511434511435,0.8295218295218295,0.11434511434511435,-1
DOM,Dominican Republic,3480,266561,10847904,North America,320.799,222.873069757814,24572.581,19.0,1406420,14601,19.00534633092115,27.6,0.0,0.4335378323108384,1.494,79.436,74.081,580,0.7341513292433538,0.5316973415132924,0.4110429447852761,0.12964900869329227
ECU,Ecuador,18631,381862,17643060,South America,1055.996,66.9385488806571,21643.751,31.0,1227352,10582,24.832564583104812,28.1,0.0,0.39263803680981596,1.665,63.534,77.01,1040,0.4662576687116564,0.4233128834355828,0.39263803680981596,0.06956571025661082
EGY,Egypt,13339,227552,102334403,Africa,130.347,97.9990466623135,2223.612,-1,-1,10550,42.80561462669404,25.299999,0.8463157894736842,0.21894736842105264,0.814,42.732,71.99,594,0.19157894736842104,0.2505263157894737,0.6294736842105263,-1
SLV,El Salvador,2124,69198,6486201,North America,327.464,307.811438223938,10668.495,7.6,892564,7292,22.56803756625904,27.6,0.0,0.6053169734151329,1.596,70.501,73.317,565,0.6339468302658486,0.14314928425357873,0.3783231083844581,0.13760967321240894
ERI,Eritrea,10,3671,3546427,Africa,2.82,0,1035.126,-1,-1,1510,52.245840269878116,19.299999,0.029106029106029108,0.8253638253638254,0.063,38.827,66.321,51,0.6112266112266113,0.5301455301455301,0.8108108108108109,-1
EST,Estonia,1161,122019,1326539,Europe,875.21,31.032790752536,91982.972,9.5,1292121,29481,9.98476649548624,42.700001,0.10187110187110188,0.46265560165975106,3.43,68.563,78.745,1668,0.1037344398340249,0.4024896265560166,0.11410788381742738,0.9740542871336614
SWZ,Eswatini,671,18458,1160164,Africa,578.367,79.491511627907,15909.82,-1,-1,7739,68.22555383699431,21.5,0.08506224066390042,0.41286307053941906,0.329,23.459,60.194,587,0.5103734439834025,0.16390041493775934,0.49377593360995853,-1
ETH,Ethiopia,3688,257442,114963583,Africa,32.08,104.957438,2239.335,10.0,2580700,1730,33.343642427740164,19.799999,0.2299794661190965,0.3531827515400411,0.022,19.866,66.597,73,0.0,0.36960985626283366,0.6550308008213552,0.02244797815670028
FJI,Fiji,2,117,896444,Oceania,2.231,49.5622331691297,130.516,0.2,52040,8703,64.39800712086002,28.6,0.8401639344262295,0.9323770491803278,0.837,55.235,67.444,364,0.8401639344262295,0.0,0.10450819672131148,0.058051590506490086
FIN,Finland,914,86808,5540718,Europe,164.961,18.1358484978117,15667.284,1.9,4512211,40586,13.20255259453926,42.799999,0.0,0.9263803680981595,3.196,85.275,81.908,3701,0.0,0.37627811860940696,0.049079754601226995,0.8143729747660863
FRA,France,104675,5677835,65273512,Europe,1536.002,122.57837631516,83316.621,-1,-1,38606,11.882183927657865,42.0,0.5102459016393442,0.8442622950819673,3.238,79.917,82.659,4508,0.5184426229508197,0.8790983606557377,0.4057377049180328,-1
